entrada_fecha,salida_fecha,resultado_%
2001-08-22,2001-08-29,-0.4365157206605784
2001-10-11,2001-10-17,0.5677807568576293
2001-11-19,2001-11-27,0.18335166029270464
2002-01-22,2002-01-29,-0.03552614689720249
2002-02-20,2002-02-26,1.9500555747776749
2002-03-06,2002-03-12,0.034073629817930155
2002-04-05,2002-04-10,0.5331576377788287
2002-04-16,2002-04-17,1.1044238438300664
2002-07-24,2002-08-01,-2.4077046548956664
2002-09-27,2002-09-30,1.3137258458198937
2002-11-06,2002-11-07,0.9448818897637795
2002-11-20,2002-11-22,1.0397033314446535
2002-11-27,2002-12-03,1.0732400710458494
2003-02-07,2003-02-20,-4.541764820269282
2003-03-13,2003-03-26,-1.6671646934418822
2003-06-10,2003-06-13,1.2492883997681288
2003-06-24,2003-07-01,1.472713336208548
2003-07-07,2003-07-14,-0.11490775336712505
2003-07-31,2003-08-06,-0.9039582505737994
2003-09-12,2003-09-17,0.10644609554454713
2003-10-03,2003-10-13,1.570118680665759
2004-01-14,2004-01-22,-2.774487044901292
2004-01-23,2004-01-27,0.5148335707130602
2004-02-20,2004-03-01,0.45282711772798745
2004-04-15,2004-04-26,-0.42746093911263755
2004-10-13,2004-10-15,1.331074500850755
2004-12-08,2004-12-15,0.8234161677545359
2005-01-05,2005-01-11,-1.1017374917455531
2005-01-31,2005-02-10,-1.0905584919540816
2005-03-03,2005-03-04,1.000236885693531
2005-06-28,2005-07-11,-2.497707160616939
2005-08-09,2005-08-10,0.5297069848703945
2005-08-19,2005-08-23,0.5031979936019187
2005-10-14,2005-10-17,1.044329447784048
2005-10-20,2005-10-25,2.5596502804704446
2005-11-01,2005-11-08,0.4577171227962723
2005-12-15,2005-12-22,-0.23813885770747517
2006-03-07,2006-03-13,-1.194144468124509
2006-03-23,2006-03-24,1.7996773047512893
2006-05-19,2006-05-23,2.482105602250243
2006-06-08,2006-06-16,-5.105890138317634
2006-07-24,2006-07-26,1.4525809044539326
2006-08-14,2006-08-21,-0.445503228793755
2006-08-24,2006-08-30,-0.29055493026129947
2006-09-08,2006-09-18,-3.8385768235004587
2006-11-08,2006-11-09,3.017517009934947
2006-11-14,2006-11-21,0.7053582077854755
2006-12-18,2006-12-19,1.2377810400549674
2007-03-01,2007-03-07,-1.7665729160014128
2007-03-13,2007-03-16,0.7720815609166886
2007-04-25,2007-04-30,-0.5262353039632971
2007-05-10,2007-05-15,1.1877950239139257
2007-06-06,2007-06-14,-2.64455588373719
2007-06-27,2007-06-28,0.9038472312039638
2007-07-17,2007-07-18,1.1885005617309485
2007-07-27,2007-07-31,1.0454582445549243
2007-11-13,2007-11-21,0.05017102016832136
2007-11-29,2007-12-04,0.7544323012817536
2008-01-17,2008-01-22,1.148376985325469
2008-02-05,2008-02-07,2.280161487210176
2008-03-10,2008-03-12,0.9176165743766127
2008-03-24,2008-03-26,3.34313542580081
2008-03-31,2008-04-04,-0.7858559387799138
2008-05-01,2008-05-05,2.756504029441823
2008-05-14,2008-05-15,1.571524751821639
2008-05-29,2008-06-06,2.0747847644507096
2008-07-08,2008-07-10,2.0609610041040995
2008-07-24,2008-08-19,-12.028202214106562
2009-02-25,2009-03-05,-4.007456944997383
2009-03-18,2009-03-19,7.831661373908422
2009-03-24,2009-04-01,0.3032587273895416
2009-04-06,2009-04-13,2.6620782796364026
2009-08-07,2009-08-13,-0.27159465361862994
2009-09-21,2009-09-22,1.0461293087873536
2009-09-25,2009-09-30,1.7976153881572692
2009-10-26,2009-10-29,0.41263304182568744
2009-12-08,2009-12-15,-1.7850913145288663
2010-01-22,2010-02-01,1.3863476251540168
2010-02-05,2010-02-09,2.328454774466908
2010-02-24,2010-02-26,1.9881485479366166
2010-03-10,2010-03-16,1.2998647507718375
2010-05-20,2010-05-24,0.5051355239393664
2010-07-27,2010-07-30,2.0466279077612266
2010-09-10,2010-09-14,2.0249056787364403
2011-01-06,2011-01-10,0.16770648365674012
2011-03-28,2011-03-31,1.3452581299530342
2011-05-05,2011-05-10,2.4106928613226377
2011-05-17,2011-05-18,1.0677068682572817
2011-06-27,2011-06-29,0.9291460169827873
2011-07-21,2011-07-22,0.9137887291286928
2011-09-23,2011-09-30,-1.0442733182251909
2011-10-19,2011-10-24,0.33414337788578374
2011-11-01,2011-11-03,3.109289957444477
2012-02-14,2012-02-15,0.6060973405262263
2012-08-30,2012-08-31,1.88085730788857
2012-10-09,2012-10-31,-2.580828133862734
2012-11-28,2012-12-07,-0.7282260413632392
2014-03-19,2014-04-02,-3.79454476574176
2014-07-08,2014-07-09,0.5927088775170973
2014-07-15,2014-07-17,1.526711881030157
2014-07-24,2014-07-28,0.9840441254015688
2014-08-19,2014-08-26,-0.8725138576811503
2016-03-09,2016-03-10,1.2255311724705114
2016-03-15,2016-03-17,2.7714543977009827
2016-03-28,2016-03-29,1.2869867085555586
2016-05-05,2016-05-06,1.6910492045891294
2016-05-20,2016-06-03,-0.9821182200854395
2016-06-21,2016-06-24,3.896103896103896
2016-07-11,2016-07-21,-1.808118081180812
2016-09-09,2016-09-20,-1.232991858889249
2016-10-04,2016-10-13,-0.8923674004895151
2017-04-26,2017-05-11,-3.121783153174597
2017-06-09,2017-06-14,0.33898690012810406
2017-07-26,2017-07-27,0.8486769884657726
2017-08-04,2017-08-09,1.1682389415438155
2017-09-13,2017-09-25,-1.2543430013375712
2017-10-03,2017-10-09,0.8100706903755407
2017-10-18,2017-10-30,-0.453164209507712
2018-02-06,2018-02-12,-0.14327912292004785
2018-03-16,2018-03-21,0.7168384041585638
2018-03-29,2018-04-02,1.4590207170698548
2018-04-23,2018-05-04,-0.7410244860586012
2018-05-09,2018-05-10,0.7244718711396301
2019-02-05,2019-02-08,-0.038045960932668495
2019-02-27,2019-03-08,-1.5709153782289993
2019-03-28,2019-04-05,0.04651694551280413
2019-04-17,2019-04-24,0.25939702521488
2019-08-30,2019-09-03,1.7642057309485413
2019-09-09,2019-09-12,-0.23299161987521233
2019-10-08,2019-10-09,0.5944446102270009
2019-10-22,2019-10-23,0.5534233321464357
2019-11-11,2019-11-13,0.4259671021556166
2019-12-18,2019-12-19,0.3802781256810294
2020-02-04,2020-02-07,1.1738874410011213
2020-03-12,2020-03-23,-1.4031364841754081
2020-03-31,2020-04-02,2.671461797751683
2020-04-17,2020-04-22,2.338385101929292
2020-04-28,2020-05-04,-0.2104633490755627
2020-09-04,2020-09-09,1.081133452563226
2020-09-23,2020-09-28,0.6935869801994592
2020-11-19,2020-12-01,-2.5253882444011535
2020-12-22,2020-12-24,0.7125280725427006
2021-01-25,2021-01-29,-0.40972427009041784
2021-06-15,2021-06-23,-3.8932300443178756
2021-11-22,2021-12-01,-1.3510534005571706
2022-01-18,2022-01-19,1.6994937884446035
2022-03-15,2022-03-21,0.005184111274954628
2022-03-29,2022-03-31,1.9456041407884415
2022-04-21,2022-04-29,-1.830427021392149
2023-01-30,2023-02-01,0.25482471016950625
2023-02-03,2023-02-28,-1.8251113615554335
2023-04-10,2023-04-12,1.0959755213763587
2023-05-12,2023-05-30,-2.8046661702655746
2023-06-13,2023-06-15,0.6788066135920894
2023-06-22,2023-06-30,0.439171047655225
2023-07-24,2023-07-26,0.43870710461281676
2023-08-03,2023-08-21,-2.0031030627264492
2023-09-07,2023-09-11,0.3024797302803129
2023-11-08,2023-11-14,0.5278016309569562
2023-12-11,2023-12-14,2.639026853987614
2024-01-10,2024-01-12,1.2365831035168593
2024-02-12,2024-02-16,-0.33197657982226436
2024-04-24,2024-04-26,0.44310814489675204
2024-05-23,2024-05-30,0.33832558217344755
2024-07-19,2024-07-24,0.7430619423137133
2024-08-06,2024-08-08,1.3854527714471465
2024-10-08,2024-10-11,1.6290668319789674
2024-11-12,2024-11-18,0.4076960637019231
2024-12-16,2024-12-24,-1.1842763634408193
2025-04-07,2025-04-09,3.5645291712595206
2025-05-01,2025-05-05,3.155764761000779
2025-07-25,2025-08-01,0.41091635188587283
2025-10-28,2025-11-03,0.8597674871680285
2025-11-17,2025-11-21,0.20647204588977144
2026-03-13,2026-03-25,-9.949533801335972
2026-04-29,2026-05-01,1.8634978304938352
2026-05-18,2026-05-21,-0.2789718904448105
2026-05-27,2026-05-29,2.5407532321528947
