Datetime,Close,High,Low,Open,Volume
2023-09-13 09:30:00-04:00,701.2100219726562,701.5,693.9949951171875,698.8400268554688,94064
2023-09-13 10:30:00-04:00,702.8599853515625,704.2150268554688,701.4400024414062,701.4400024414062,71826
2023-09-13 11:30:00-04:00,702.219970703125,703.489990234375,701.1500244140625,702.52001953125,46887
2023-09-13 12:30:00-04:00,701.2899780273438,703.02001953125,700.6400146484375,702.6699829101562,38503
2023-09-13 13:30:00-04:00,697.2999877929688,701.75,697.2999877929688,700.6900024414062,63190
2023-09-13 14:30:00-04:00,696.739990234375,699.010009765625,695.0300903320312,698.0548706054688,67195
2023-09-13 15:30:00-04:00,697.27001953125,697.6900024414062,695.9199829101562,696.75,125652
2023-09-14 09:30:00-04:00,701.3900146484375,704.3300170898438,698.3300170898438,703.7100219726562,65428
2023-09-14 10:30:00-04:00,703.4650268554688,706.719970703125,700.5599975585938,701.5499877929688,66769
2023-09-14 11:30:00-04:00,706.5050048828125,706.5050048828125,702.3400268554688,703.2349853515625,43366
2023-09-14 12:30:00-04:00,706.72998046875,707.72998046875,706.4849853515625,706.5050048828125,48195
2023-09-14 13:30:00-04:00,707.6699829101562,708.0,706.531005859375,706.9400024414062,51770
2023-09-14 14:30:00-04:00,707.6300048828125,709.0599975585938,707.219970703125,707.7249755859375,70129
2023-09-14 15:30:00-04:00,706.7899780273438,707.72998046875,706.0700073242188,707.6300048828125,133638
2023-09-15 09:30:00-04:00,703.510009765625,705.1500244140625,699.0599975585938,701.8599853515625,194660
2023-09-15 10:30:00-04:00,699.4349975585938,703.4000244140625,698.3699951171875,703.114990234375,194501
2023-09-15 11:30:00-04:00,700.3900146484375,701.219970703125,698.8900146484375,699.4149780273438,58400
2023-09-15 12:30:00-04:00,695.9949951171875,700.3599853515625,695.9949951171875,700.0900268554688,57688
2023-09-15 13:30:00-04:00,697.3599853515625,698.6649780273438,695.7999877929688,696.239990234375,71741
2023-09-15 14:30:00-04:00,695.4699096679688,697.8049926757812,695.3900146484375,697.0900268554688,77125
2023-09-15 15:30:00-04:00,697.5399780273438,698.6900024414062,695.3300170898438,695.3300170898438,175395
2023-09-18 09:30:00-04:00,694.7100219726562,697.27001953125,690.0599975585938,696.3200073242188,73980
2023-09-18 10:30:00-04:00,697.469970703125,697.6799926757812,694.3897705078125,694.5499877929688,40542
2023-09-18 11:30:00-04:00,699.1699829101562,699.47998046875,697.217529296875,697.8499755859375,37656
2023-09-18 12:30:00-04:00,696.77001953125,699.3599853515625,696.1804809570312,698.9600219726562,27119
2023-09-18 13:30:00-04:00,695.530029296875,697.6500244140625,695.1130981445312,696.9500122070312,47650
2023-09-18 14:30:00-04:00,695.4349975585938,696.1199951171875,694.7730102539062,695.14501953125,44381
2023-09-18 15:30:00-04:00,694.77001953125,695.530029296875,693.6799926757812,695.2899780273438,82533
2023-09-19 09:30:00-04:00,688.7949829101562,695.5700073242188,688.4450073242188,693.6599731445312,54061
2023-09-19 10:30:00-04:00,689.2000122070312,690.0,687.739990234375,688.6099853515625,39413
2023-09-19 11:30:00-04:00,688.4400024414062,689.8493041992188,687.7150268554688,689.3200073242188,30602
2023-09-19 12:30:00-04:00,688.010009765625,688.7899780273438,685.6599731445312,688.5,29374
2023-09-19 13:30:00-04:00,689.27001953125,690.1199951171875,688.2999877929688,688.3300170898438,24333
2023-09-19 14:30:00-04:00,690.7969970703125,691.3499755859375,688.9954833984375,688.9954833984375,26028
2023-09-19 15:30:00-04:00,689.4500122070312,691.8800048828125,688.6900024414062,690.97998046875,94147
2023-09-20 09:30:00-04:00,692.97998046875,692.97998046875,689.5900268554688,691.0,48227
2023-09-20 10:30:00-04:00,693.1799926757812,694.6900024414062,692.1900024414062,692.8699951171875,25254
2023-09-20 11:30:00-04:00,692.4199829101562,693.3775024414062,691.6900024414062,693.239990234375,17795
2023-09-20 12:30:00-04:00,691.9660034179688,693.2999877929688,691.7926025390625,692.8699951171875,17274
2023-09-20 13:30:00-04:00,691.010009765625,692.52001953125,688.1141967773438,692.2100219726562,33560
2023-09-20 14:30:00-04:00,686.989990234375,691.7000122070312,685.22998046875,690.030029296875,35596
2023-09-20 15:30:00-04:00,682.7999877929688,687.1300048828125,682.6699829101562,686.6900024414062,62247
2023-09-21 09:30:00-04:00,666.0900268554688,676.739990234375,665.6500244140625,676.739990234375,130895
2023-09-21 10:30:00-04:00,668.219970703125,669.4398803710938,665.9400024414062,666.280029296875,44515
2023-09-21 11:30:00-04:00,667.7000122070312,669.50439453125,666.5599975585938,667.9600219726562,34431
2023-09-21 12:30:00-04:00,669.3900146484375,669.4600219726562,666.02001953125,667.4400024414062,42993
2023-09-21 13:30:00-04:00,670.0150146484375,672.22998046875,669.0900268554688,669.52001953125,42878
2023-09-21 14:30:00-04:00,670.8350219726562,673.030029296875,669.64501953125,670.0900268554688,60502
2023-09-21 15:30:00-04:00,668.8300170898438,671.010009765625,668.5999755859375,670.780029296875,96228
2023-09-22 09:30:00-04:00,668.3699951171875,671.719970703125,668.0125122070312,670.989990234375,65738
2023-09-22 10:30:00-04:00,667.375,669.1099853515625,665.260009765625,668.489990234375,44714
2023-09-22 11:30:00-04:00,663.6799926757812,667.489990234375,663.6799926757812,666.8200073242188,30679
2023-09-22 12:30:00-04:00,662.0025024414062,664.8900146484375,661.8300170898438,663.8699951171875,59724
2023-09-22 13:30:00-04:00,661.02001953125,662.5999755859375,660.1199951171875,661.5919799804688,45636
2023-09-22 14:30:00-04:00,663.1599731445312,664.0474853515625,660.239990234375,660.7899780273438,48062
2023-09-22 15:30:00-04:00,660.0900268554688,663.3200073242188,659.3250122070312,663.1599731445312,92871
2023-09-25 09:30:00-04:00,656.7899780273438,659.969970703125,653.0800170898438,655.02001953125,83920
2023-09-25 10:30:00-04:00,655.510009765625,657.1400146484375,653.0250244140625,656.9000244140625,47799
2023-09-25 11:30:00-04:00,656.75,657.0050048828125,655.2100219726562,655.5250244140625,41498
2023-09-25 12:30:00-04:00,655.6599731445312,657.8300170898438,655.3350219726562,656.8099975585938,42758
2023-09-25 13:30:00-04:00,656.1699829101562,657.52001953125,655.4982299804688,655.4982299804688,35228
2023-09-25 14:30:00-04:00,656.3270874023438,657.780029296875,654.6500244140625,656.1099853515625,52014
2023-09-25 15:30:00-04:00,657.6749877929688,658.3099975585938,656.0599975585938,656.280029296875,80367
2023-09-26 09:30:00-04:00,651.364990234375,654.489990234375,649.5999755859375,652.1199951171875,80442
2023-09-26 10:30:00-04:00,648.6400146484375,651.7999877929688,648.489990234375,651.530029296875,51567
2023-09-26 11:30:00-04:00,650.4600219726562,651.8599853515625,648.02099609375,648.1201171875,61316
2023-09-26 12:30:00-04:00,649.364990234375,651.02001953125,648.905029296875,650.72998046875,35608
2023-09-26 13:30:00-04:00,647.0399780273438,649.969970703125,646.3200073242188,649.3699951171875,54505
2023-09-26 14:30:00-04:00,645.8150024414062,647.5900268554688,645.8150024414062,646.9400024414062,84758
2023-09-26 15:30:00-04:00,646.739990234375,649.2899780273438,645.8200073242188,646.0499877929688,136185
2023-09-27 09:30:00-04:00,646.2999877929688,648.4500122070312,641.135009765625,647.6799926757812,102192
2023-09-27 10:30:00-04:00,644.4199829101562,648.4199829101562,644.1599731445312,645.6749877929688,65664
2023-09-27 11:30:00-04:00,641.8800048828125,645.5800170898438,641.5900268554688,644.6300048828125,47312
2023-09-27 12:30:00-04:00,641.469970703125,644.6500244140625,641.25,642.1900024414062,47477
2023-09-27 13:30:00-04:00,643.9500122070312,644.2150268554688,640.3099975585938,641.5050048828125,53566
2023-09-27 14:30:00-04:00,644.655029296875,646.35498046875,644.1900024414062,644.594970703125,59614
2023-09-27 15:30:00-04:00,643.6199951171875,644.6300048828125,641.9000244140625,644.5750122070312,96763
2023-09-28 09:30:00-04:00,642.9199829101562,646.2000122070312,642.299072265625,643.02001953125,84728
2023-09-28 10:30:00-04:00,644.2100219726562,644.6300048828125,640.6749877929688,642.27001953125,54086
2023-09-28 11:30:00-04:00,647.0275268554688,647.0449829101562,641.5499877929688,644.0599975585938,114767
2023-09-28 12:30:00-04:00,642.8499755859375,647.5449829101562,642.5499877929688,647.3632202148438,71786
2023-09-28 13:30:00-04:00,644.0700073242188,644.3099975585938,641.489990234375,642.5,45220
2023-09-28 14:30:00-04:00,645.8400268554688,646.0,641.0,643.8300170898438,97134
2023-09-28 15:30:00-04:00,645.4299926757812,645.9550170898438,643.0999755859375,645.9550170898438,133157
2023-09-29 09:30:00-04:00,654.7050170898438,655.9400024414062,652.0,652.7999877929688,75694
2023-09-29 10:30:00-04:00,654.905029296875,656.8200073242188,653.239990234375,654.4199829101562,41870
2023-09-29 11:30:00-04:00,650.1799926757812,655.1500244140625,649.0,654.5399780273438,55048
2023-09-29 12:30:00-04:00,647.5499877929688,651.114501953125,646.0900268554688,650.3499755859375,31936
2023-09-29 13:30:00-04:00,646.5900268554688,648.1500244140625,645.5357055664062,647.8499755859375,39672
2023-09-29 14:30:00-04:00,647.2100219726562,649.0800170898438,645.9500122070312,646.22998046875,48010
2023-09-29 15:30:00-04:00,646.8699951171875,649.5900268554688,646.1900024414062,647.2899780273438,104288
2023-10-02 09:30:00-04:00,643.5120849609375,646.0399780273438,641.6599731445312,644.7100219726562,78366
2023-10-02 10:30:00-04:00,642.9550170898438,643.5900268554688,638.7349853515625,642.6900024414062,57452
2023-10-02 11:30:00-04:00,639.875,643.9400024414062,639.239990234375,643.22998046875,54421
2023-10-02 12:30:00-04:00,641.9600219726562,642.3599853515625,639.1300048828125,640.1099853515625,43523
2023-10-02 13:30:00-04:00,642.094970703125,646.25,642.094970703125,642.2899780273438,55906
2023-10-02 14:30:00-04:00,641.2750244140625,642.5800170898438,640.7000122070312,642.1950073242188,92505
2023-10-02 15:30:00-04:00,643.0399780273438,643.0399780273438,641.030029296875,641.3099975585938,98107
2023-10-03 09:30:00-04:00,630.3200073242188,637.72998046875,630.219970703125,637.72998046875,128036
2023-10-03 10:30:00-04:00,626.6300048828125,631.3499755859375,626.3400268554688,630.02001953125,85421
2023-10-03 11:30:00-04:00,629.1500244140625,631.0599975585938,626.0,626.4199829101562,67581
2023-10-03 12:30:00-04:00,628.010009765625,629.780029296875,627.760009765625,629.780029296875,50052
2023-10-03 13:30:00-04:00,624.260009765625,628.77001953125,624.010009765625,628.1599731445312,57648
2023-10-03 14:30:00-04:00,624.9450073242188,625.7316284179688,623.5999755859375,624.1699829101562,87576
2023-10-03 15:30:00-04:00,625.9400024414062,625.9400024414062,623.6900024414062,624.989990234375,129370
2023-10-04 09:30:00-04:00,629.2849731445312,631.9400024414062,627.6400756835938,629.030029296875,94014
2023-10-04 10:30:00-04:00,630.0750122070312,630.0750122070312,625.3800048828125,629.1699829101562,58406
2023-10-04 11:30:00-04:00,633.8400268554688,634.3699951171875,628.8400268554688,630.02001953125,65875
2023-10-04 12:30:00-04:00,633.5150146484375,634.6799926757812,633.1099853515625,634.0999755859375,49673
2023-10-04 13:30:00-04:00,630.8300170898438,633.8099975585938,630.3200073242188,633.5,38928
2023-10-04 14:30:00-04:00,636.5,636.7050170898438,630.719970703125,630.719970703125,62329
2023-10-04 15:30:00-04:00,636.530029296875,638.364990234375,635.52001953125,636.8150024414062,109052
2023-10-05 09:30:00-04:00,633.9514770507812,637.1409912109375,632.010009765625,633.6500244140625,58910
2023-10-05 10:30:00-04:00,633.5,634.6849975585938,632.0999755859375,634.5599975585938,55145
2023-10-05 11:30:00-04:00,637.4199829101562,637.5800170898438,633.280029296875,633.5499877929688,44031
2023-10-05 12:30:00-04:00,638.3499755859375,638.8800048828125,636.380126953125,637.6699829101562,42522
2023-10-05 13:30:00-04:00,640.4000244140625,641.594970703125,637.8099975585938,638.260009765625,49763
2023-10-05 14:30:00-04:00,642.5897827148438,642.6749877929688,640.2589111328125,640.2589111328125,67009
2023-10-05 15:30:00-04:00,640.6400146484375,642.8699951171875,640.0,642.8099975585938,95033
2023-10-06 09:30:00-04:00,639.239990234375,639.239990234375,634.5399780273438,635.02001953125,110107
2023-10-06 10:30:00-04:00,643.6799926757812,643.6799926757812,639.4099731445312,639.9000244140625,53302
2023-10-06 11:30:00-04:00,647.60498046875,649.3400268554688,642.969970703125,643.52001953125,65967
2023-10-06 12:30:00-04:00,649.0,649.47998046875,646.4500122070312,647.47998046875,51943
2023-10-06 13:30:00-04:00,650.6900024414062,650.6900024414062,648.3049926757812,649.2999877929688,57647
2023-10-06 14:30:00-04:00,650.989990234375,651.510009765625,649.3300170898438,650.6099853515625,78872
2023-10-06 15:30:00-04:00,648.5399780273438,651.2999877929688,647.7899780273438,650.97998046875,109552
2023-10-09 09:30:00-04:00,643.2550048828125,644.7899780273438,640.4957275390625,641.5,73305
2023-10-09 10:30:00-04:00,644.5900268554688,644.8300170898438,642.8250122070312,643.25,42313
2023-10-09 11:30:00-04:00,644.0900268554688,646.5,643.6199951171875,644.7899780273438,62994
2023-10-09 12:30:00-04:00,642.8300170898438,644.6500244140625,641.72998046875,644.25,47147
2023-10-09 13:30:00-04:00,646.5599975585938,646.89501953125,642.9450073242188,643.239990234375,45968
2023-10-09 14:30:00-04:00,646.530029296875,647.8599853515625,645.585205078125,646.4849853515625,52132
2023-10-09 15:30:00-04:00,643.6199951171875,646.5650024414062,643.27001953125,646.5650024414062,117454
2023-10-10 09:30:00-04:00,646.1649780273438,646.9749755859375,642.0,643.6199951171875,125319
2023-10-10 10:30:00-04:00,647.2650146484375,648.6300048828125,643.5,645.9949951171875,141657
2023-10-10 11:30:00-04:00,648.9400024414062,649.3220825195312,646.4600219726562,646.989990234375,46195
2023-10-10 12:30:00-04:00,646.125,649.4000244140625,645.8200073242188,648.7899780273438,42459
2023-10-10 13:30:00-04:00,644.6875,646.1900024414062,644.219970703125,646.1400146484375,38555
2023-10-10 14:30:00-04:00,643.9600219726562,645.5499877929688,643.260009765625,644.4650268554688,58270
2023-10-10 15:30:00-04:00,641.8300170898438,644.1900024414062,641.7000122070312,643.8150024414062,92387
2023-10-11 09:30:00-04:00,643.9949951171875,648.6400146484375,643.6500244140625,645.6400146484375,66479
2023-10-11 10:30:00-04:00,642.239990234375,645.9000244140625,641.885009765625,644.1699829101562,51845
2023-10-11 11:30:00-04:00,640.0750122070312,643.1925048828125,639.4400024414062,642.217529296875,49143
2023-10-11 12:30:00-04:00,639.7550048828125,640.7999877929688,638.0999755859375,640.22998046875,51492
2023-10-11 13:30:00-04:00,640.14501953125,641.5599975585938,638.989990234375,639.6199951171875,48348
2023-10-11 14:30:00-04:00,641.7271728515625,642.1400146484375,640.3300170898438,640.5499877929688,62125
2023-10-11 15:30:00-04:00,642.8800048828125,643.0499877929688,641.5599975585938,641.5599975585938,93751
2023-10-12 09:30:00-04:00,641.4099731445312,643.7100219726562,637.22998046875,643.22998046875,123668
2023-10-12 10:30:00-04:00,643.0900268554688,643.8576049804688,639.1500244140625,640.9199829101562,64554
2023-10-12 11:30:00-04:00,643.739990234375,644.2725219726562,641.6699829101562,643.0,47602
2023-10-12 12:30:00-04:00,637.2999877929688,643.77001953125,637.2999877929688,643.7349853515625,46717
2023-10-12 13:30:00-04:00,635.1799926757812,637.530029296875,632.0599975585938,636.8099975585938,102946
2023-10-12 14:30:00-04:00,635.7899780273438,637.5900268554688,634.9400024414062,635.1649780273438,104675
2023-10-12 15:30:00-04:00,636.1300048828125,638.5,635.7000122070312,635.8499755859375,170153
2023-10-13 09:30:00-04:00,632.6599731445312,636.0,620.0,628.1699829101562,468401
2023-10-13 10:30:00-04:00,631.2899780273438,636.0050048828125,630.3212280273438,632.6599731445312,132839
2023-10-13 11:30:00-04:00,629.5900268554688,632.8499755859375,627.6950073242188,631.5399780273438,100765
2023-10-13 12:30:00-04:00,624.9299926757812,630.7899780273438,624.4400024414062,629.0800170898438,119231
2023-10-13 13:30:00-04:00,625.7050170898438,627.5900268554688,624.0999755859375,624.4400024414062,89903
2023-10-13 14:30:00-04:00,624.6849975585938,628.4500122070312,624.530029296875,625.8499755859375,76640
2023-10-13 15:30:00-04:00,627.6599731445312,627.77001953125,623.0,624.7050170898438,163427
2023-10-16 09:30:00-04:00,640.3099975585938,640.9099731445312,628.4149780273438,630.510009765625,127068
2023-10-16 10:30:00-04:00,639.9099731445312,641.6199951171875,637.77001953125,640.35498046875,82425
2023-10-16 11:30:00-04:00,637.9400024414062,639.739990234375,637.1300048828125,639.6300048828125,49183
