entrada_t,salida_t,direccion,resultado_%,motivo_salida
2026-07-29 14:40:00-04:00,2026-07-29 15:20:00-04:00,CORTO,0.7222669561425569,vwap
2026-07-29 15:35:00-04:00,2026-07-29 15:55:00-04:00,LARGO,-0.2822564767237058,cierre_sesion
2026-07-30 10:25:00-04:00,2026-07-30 10:50:00-04:00,CORTO,0.32085240665336134,vwap
2026-07-30 13:00:00-04:00,2026-07-30 15:55:00-04:00,CORTO,-0.24055250116283952,cierre_sesion
2026-07-31 10:15:00-04:00,2026-07-31 10:45:00-04:00,LARGO,0.5135057728186272,vwap
2026-07-31 15:45:00-04:00,2026-07-31 15:55:00-04:00,CORTO,0.22578522931279224,cierre_sesion
2026-08-03 10:15:00-04:00,2026-08-03 15:55:00-04:00,CORTO,-0.4623952244194142,cierre_sesion
2026-08-04 10:15:00-04:00,2026-08-04 15:55:00-04:00,CORTO,-0.7886407906220037,cierre_sesion
2026-08-05 10:25:00-04:00,2026-08-05 15:55:00-04:00,LARGO,-0.6506218287207903,cierre_sesion
2026-08-06 10:15:00-04:00,2026-08-06 10:25:00-04:00,CORTO,0.16262753967120955,vwap
2026-08-06 11:15:00-04:00,2026-08-06 14:10:00-04:00,LARGO,0.02860625999264524,vwap
2026-08-07 10:25:00-04:00,2026-08-07 12:25:00-04:00,CORTO,0.18947824607700775,vwap
2026-08-10 10:15:00-04:00,2026-08-10 10:55:00-04:00,CORTO,0.10008697011430032,vwap
2026-08-10 12:30:00-04:00,2026-08-10 15:05:00-04:00,LARGO,0.09189081888835411,vwap
2026-08-11 11:05:00-04:00,2026-08-11 15:55:00-04:00,LARGO,-0.3008536731861765,cierre_sesion
2026-08-12 11:00:00-04:00,2026-08-12 12:20:00-04:00,LARGO,0.0906904286291077,vwap
2026-08-13 10:15:00-04:00,2026-08-13 11:00:00-04:00,CORTO,0.1477174124036215,vwap
2026-08-14 10:20:00-04:00,2026-08-14 15:55:00-04:00,LARGO,-0.1581985849496493,cierre_sesion
2026-08-17 10:35:00-04:00,2026-08-17 11:00:00-04:00,LARGO,0.05677011364181342,vwap
2026-08-17 12:55:00-04:00,2026-08-17 15:55:00-04:00,LARGO,-0.2581711182564436,cierre_sesion
2026-08-18 10:50:00-04:00,2026-08-18 11:45:00-04:00,LARGO,0.05925164575320684,vwap
2026-08-19 10:35:00-04:00,2026-08-19 11:50:00-04:00,CORTO,0.12967813639600842,vwap
2026-08-20 10:15:00-04:00,2026-08-20 10:35:00-04:00,LARGO,0.1998808863972154,vwap
2026-08-20 11:35:00-04:00,2026-08-20 15:55:00-04:00,LARGO,-0.38076664057212506,cierre_sesion
2026-08-21 10:55:00-04:00,2026-08-21 13:30:00-04:00,CORTO,0.035992337680813474,vwap
2026-08-24 11:40:00-04:00,2026-08-24 13:20:00-04:00,CORTO,0.09004494980004031,vwap
2026-08-25 10:15:00-04:00,2026-08-25 11:55:00-04:00,LARGO,0.0026154962892247693,vwap
2026-08-26 12:35:00-04:00,2026-08-26 13:20:00-04:00,LARGO,0.19499205950288964,vwap
2026-08-26 15:00:00-04:00,2026-08-26 15:55:00-04:00,CORTO,0.164219861789306,cierre_sesion
