entrada_fecha,salida_fecha,precio_entrada,precio_salida,resultado_%,dias_en_posicion
2002-03-14,2002-03-15,1153.0400390625,1166.1600341796875,1.1378611906534442,1
2003-05-20,2003-05-22,919.72998046875,931.8699951171875,1.3199542155024908,2
2003-07-17,2003-07-22,981.72998046875,988.1099853515625,0.6498736933516299,5
2003-07-30,2003-08-07,987.489990234375,974.1199951171875,-1.3539372803175667,8
2003-09-26,2003-10-01,996.8499755859375,1018.219970703125,2.1437523840662633,5
2003-11-11,2003-11-12,1046.5699462890625,1058.530029296875,1.1427886927405735,1
2003-11-17,2003-11-24,1043.6300048828125,1052.0799560546875,0.8096692441133705,7
2004-02-20,2004-02-25,1144.1099853515625,1143.6700439453125,-0.038452719745716984,5
2004-03-10,2004-03-17,1123.8900146484375,1123.75,-0.012458038296683132,7
2004-03-22,2004-03-25,1095.4000244140625,1109.18994140625,1.2588932522220664,3
2004-04-08,2004-04-12,1139.3199462890625,1145.199951171875,0.5160977741120539,4
2004-04-30,2004-05-04,1107.300048828125,1119.550048828125,1.1062945416614394,4
2004-05-10,2004-05-13,1087.1199951171875,1096.43994140625,0.8573061236039398,3
2004-05-17,2004-05-21,1084.0999755859375,1093.56005859375,0.8726209040544888,4
2004-06-28,2004-06-30,1133.3499755859375,1140.8399658203125,0.6608717868020163,2
2004-07-06,2004-07-12,1116.2099609375,1114.3499755859375,-0.16663400405424678,6
2004-11-10,2004-11-11,1162.9100341796875,1173.47998046875,0.9089220987347059,1
2005-01-04,2005-01-10,1188.050048828125,1190.25,0.1851732739748632,6
2005-01-21,2005-01-26,1167.8699951171875,1174.0699462890625,0.5308768268554479,5
2005-03-22,2005-03-30,1171.7099609375,1181.4100341796875,0.8278561730777085,8
2005-06-27,2005-06-28,1190.68994140625,1201.5699462890625,0.9137563444907246,1
2005-08-08,2005-08-11,1223.1300048828125,1237.81005859375,1.2002038746767552,3
2005-09-14,2005-09-16,1227.1600341796875,1237.9100341796875,0.8760063643358456,2
2005-09-21,2005-09-26,1210.199951171875,1215.6300048828125,0.4486906238658667,5
2005-12-19,2005-12-22,1259.9200439453125,1268.1199951171875,0.6508310754544138,3
2006-03-06,2006-03-10,1278.260009765625,1281.4200439453125,0.24721372455881707,4
2006-04-25,2006-04-27,1301.739990234375,1309.719970703125,0.6130241468047106,2
2006-05-12,2006-05-25,1291.239990234375,1272.8800048828125,-1.4218879132011664,13
2006-08-08,2006-08-15,1271.47998046875,1285.5799560546875,1.1089420047918752,7
2006-11-03,2006-11-06,1364.300048828125,1379.780029296875,1.1346463325312226,3
2006-12-22,2006-12-27,1410.760009765625,1426.8399658203125,1.1398080427130144,5
2007-01-03,2007-01-10,1416.5999755859375,1414.8499755859375,-0.1235352273161067,7
2007-01-29,2007-01-30,1420.6199951171875,1428.8199462890625,0.5772093311412657,1
2007-02-12,2007-02-13,1433.3699951171875,1444.260009765625,0.7597490309923203,1
2007-02-23,2007-03-06,1451.18994140625,1395.4100341796875,-3.8437357946755033,11
2007-04-30,2007-05-02,1482.3699951171875,1495.9200439453125,0.9140800793835424,2
2007-05-24,2007-05-29,1507.510009765625,1518.1099853515625,0.7031446237352345,5
2007-06-07,2007-06-13,1490.719970703125,1515.6700439453125,1.6736928284672639,6
2007-06-26,2007-06-27,1492.8900146484375,1506.3399658203125,0.9009338290096572,1
2007-07-18,2007-07-19,1546.1700439453125,1553.0799560546875,0.44690505655789314,1
2009-06-17,2009-06-19,910.7100219726562,921.22998046875,1.1551381056844907,2
2009-09-01,2009-09-04,998.0399780273438,1016.4000244140625,1.8396103153110097,3
2009-09-25,2009-09-28,1044.3800048828125,1062.97998046875,1.7809586069224448,3
2009-10-01,2009-10-06,1029.8499755859375,1054.719970703125,2.4149143765369914,5
2009-10-27,2009-10-29,1063.4100341796875,1066.1099853515625,0.2538955891983601,2
2009-11-20,2009-11-23,1091.3800048828125,1106.239990234375,1.3615775701478146,3
2010-01-22,2010-02-01,1091.760009765625,1089.18994140625,-0.23540598083700948,10
2010-05-06,2010-05-10,1128.1500244140625,1159.72998046875,2.7992691903800178,4
2010-09-23,2010-09-24,1124.8299560546875,1148.6700439453125,2.1194392772258217,1
2010-11-15,2010-11-18,1197.75,1196.68994140625,-0.08850416144854936,3
2010-11-30,2010-12-01,1180.550048828125,1206.0699462890625,2.1616955152617097,1
2011-01-10,2011-01-11,1269.75,1274.47998046875,0.37251273626698167,1
2011-02-24,2011-02-25,1306.0999755859375,1319.8800048828125,1.0550516464632087,1
2011-03-16,2011-03-18,1256.8800048828125,1279.2099609375,1.7766179721165565,2
2011-04-11,2011-04-15,1324.4599609375,1319.6800537109375,-0.3608948075092516,4
2011-05-04,2011-05-09,1347.3199462890625,1346.2900390625,-0.0764411771234579,5
2011-05-17,2011-05-18,1328.97998046875,1340.6800537109375,0.8803799465858559,1
2011-05-24,2011-05-26,1316.280029296875,1325.68994140625,0.7148867945980726,2
2011-06-03,2011-06-09,1300.1600341796875,1289.0,-0.8583585009770526,6
2011-06-24,2011-06-28,1268.449951171875,1296.6700439453125,2.2247699049825322,4
2011-07-12,2011-07-15,1313.6400146484375,1316.1400146484375,0.19031088975080146,3
2011-07-27,2011-08-11,1304.8900146484375,1172.6400146484375,-10.134953790387513,15
2012-01-30,2012-02-01,1313.010009765625,1324.0899658203125,0.8438592221140261,2
2012-03-06,2012-03-08,1343.3599853515625,1365.9100341796875,1.6786303800930595,2
2012-03-22,2012-03-26,1392.780029296875,1416.510009765625,1.7037852331017223,4
2012-03-29,2012-04-02,1403.280029296875,1419.0400390625,1.1230837350063112,4
2012-04-05,2012-04-12,1398.0799560546875,1387.5699462890625,-0.7517459727613668,7
2012-05-04,2012-05-21,1369.0999755859375,1315.989990234375,-3.879189708467629,17
2012-07-09,2012-07-13,1352.4599609375,1356.780029296875,0.3194230131870528,4
2012-07-24,2012-07-26,1338.31005859375,1360.02001953125,1.6221921667623178,2
2012-08-01,2012-08-03,1375.3199462890625,1390.989990234375,1.139374440659715,2
2012-09-24,2012-10-01,1456.8900146484375,1444.489990234375,-0.8511297551212027,7
2012-10-09,2012-10-15,1441.47998046875,1440.1300048828125,-0.09365205235098069,6
2012-12-26,2012-12-31,1419.8299560546875,1426.18994140625,0.44793993283781186,5
2013-03-19,2013-03-20,1548.3399658203125,1558.7099609375,0.6697492376419711,1
2013-05-24,2013-05-28,1649.5999755859375,1660.06005859375,0.6340981548630953,4
2013-06-12,2013-06-13,1612.52001953125,1636.3599853515625,1.4784291377196443,1
2013-08-07,2013-08-13,1690.9100341796875,1694.1600341796875,0.1922041938545048,6
2013-08-16,2013-08-22,1655.8299560546875,1656.9599609375,0.0682440173690866,6
2013-09-23,2013-10-01,1701.8399658203125,1695.0,-0.4019159238051818,8
2013-11-20,2013-11-21,1781.3699951171875,1795.8499755859375,0.8128564255848171,1
2013-12-03,2013-12-06,1795.1500244140625,1805.0899658203125,0.5537109027694997,3
2013-12-12,2013-12-16,1775.5,1786.5400390625,0.6217988770768798,4
