tope_extra,trade_techo,riesgo_techo,retorno_pct,drawdown_pct
2,4,7.0,116228.2,-17.3
3,5,9.0,170468.3,-19.1
4,6,11.0,228059.5,-20.8
6,8,15.0,294870.1,-20.8
8,10,19.0,297589.4,-20.8
12,14,27.0,306260.4,-21.0
20,22,43.0,306260.4,-21.0
50,52,103.0,306260.4,-21.0
