Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),Trades tp,Trades sl,Fecha_dt,Beneficio_R,es_hedge,modelo_limpio,dia_norm,sesion,semana_iso
18/03/2026,miercoles,MEC,Envolvente,20:01,21:02,Buy,Take Profit,1.0,1.0,,2026-03-18,1.0,False,MEC,miercoles,Asia,2026-W12
19/03/2026,jueves,MER,Envolvente,07:35,07:42,Sell,Take Profit,1.0,1.0,,2026-03-19,1.0,False,MER,jueves,Pre-NY,2026-W12
23/03/2026,lunes,MEC,Star,07:10,07:11,Buy,Take Profit,1.0,1.0,,2026-03-23,1.0,False,MEC,lunes,Pre-NY,2026-W13
23/03/2026,lunes,MEC,Envolvente,20:26,20:27,Sell,Take Profit,1.0,1.0,,2026-03-23,1.0,False,MEC,lunes,Asia,2026-W13
24/03/2026,martes,MER,Envolvente,08:22,08:33,Sell,Take Profit,1.0,1.0,,2026-03-24,1.0,False,MER,martes,Pre-NY,2026-W13
30/03/2026,lunes,MER,Star,07:42,07:18,Buy,Take Profit,1.0,1.0,,2026-03-30,1.0,False,MER,lunes,Pre-NY,2026-W14
30/03/2026,lunes,MEC,Envolvente,20:38,20:57,Buy,Take Profit,1.0,1.0,,2026-03-30,1.0,False,MEC,lunes,Asia,2026-W14
31/03/2026,martes,MER,Envolvente,08:01,09:03,Sell,Take Profit,1.0,1.0,,2026-03-31,1.0,False,MER,martes,Pre-NY,2026-W14
07/04/2026,martes,MEC,Envolvente,07:41,08:24,Buy,Take Profit,1.0,1.0,,2026-04-07,1.0,False,MEC,martes,Pre-NY,2026-W15
08/04/2026,miercoles,MER,Envolvente,07:07,07:26,Buy,Take Profit,1.0,1.0,,2026-04-08,1.0,False,MER,miercoles,Pre-NY,2026-W15
08/04/2026,miercoles,MER,Envolvente,20:21,20:41,Buy,Take Profit,1.0,1.0,,2026-04-08,1.0,False,MER,miercoles,Asia,2026-W15
13/04/2026,lunes,MEC,Star,07:40,08:50,Sell,Stop Loss,-1.0,,1.0,2026-04-13,-1.0,False,MEC,lunes,Pre-NY,2026-W16
13/04/2026,lunes,MEC,Envolvente,20:38,22:20,,Break Even,,,,2026-04-13,0.0,False,MEC,lunes,Asia,2026-W16
14/04/2026,martes,MEC,Envolvente,07:08,07:28,Buy,Take Profit,1.0,1.0,,2026-04-14,1.0,False,MEC,martes,Pre-NY,2026-W16
15/04/2026,miercoles,MEC,Envolvente,21:27,21:37,Sell,Take Profit,1.0,1.0,,2026-04-15,1.0,False,MEC,miercoles,Asia,2026-W16
16/04/2026,jueves,MEC,Star,07:56,08:07,Buy,Stop Loss,-1.0,,1.0,2026-04-16,-1.0,False,MEC,jueves,Pre-NY,2026-W16
20/04/2026,lunes,MEC,Envolvente,07:44,07:48,Buy,Take Profit,1.0,1.0,,2026-04-20,1.0,False,MEC,lunes,Pre-NY,2026-W17
20/04/2026,lunes,MER,Envolvente,21:29,21:39,Buy,Stop Loss,-1.0,,1.0,2026-04-20,-1.0,False,MER,lunes,Asia,2026-W17
22/04/2026,miercoles,MER,Star,08:25,08:36,Buy,Stop Loss,-1.0,,1.0,2026-04-22,-1.0,False,MER,miercoles,Pre-NY,2026-W17
22/04/2026,miercoles,MEC,Star,08:48,09:18,Sell,Take Profit,1.0,1.0,,2026-04-22,1.0,False,MEC,miercoles,Pre-NY,2026-W17
22/04/2026,miercoles,MER,Envolvente,21:10,21:13,Sell,Take Profit,1.0,,,2026-04-22,1.0,False,MER,miercoles,Asia,2026-W17
23/04/2026,jueves,MEC,Envolvente,07:03,07:46,Buy,Take Profit,1.0,1.0,,2026-04-23,1.0,False,MEC,jueves,Pre-NY,2026-W17
23/04/2026,jueves,MEC,Envolvente,20:46,21:00,Sell,Stop Loss,-1.0,,1.0,2026-04-23,-1.0,False,MEC,jueves,Asia,2026-W17
23/04/2026,jueves,MER,Envolvente,21:29,21:32,Sell,Take Profit,1.0,1.0,,2026-04-23,1.0,False,MER,jueves,Asia,2026-W17
27/04/2026,lunes,MER,Envolvente,20:01,20:08,Buy,Take Profit,1.0,1.0,,2026-04-27,1.0,False,MER,lunes,Asia,2026-W18
28/04/2026,martes,MER,Envolvente,07:23,07:31,Buy,Stop Loss,-1.0,,1.0,2026-04-28,-1.0,False,MER,martes,Pre-NY,2026-W18
28/04/2026,martes,MER,Envolvente,07:31,07:36,Sell,Take Profit,1.0,1.0,,2026-04-28,1.0,False,MER,martes,Pre-NY,2026-W18
29/04/2026,miercoles,MEC,Envolvente,20:44,20:46,Buy,Take Profit,1.0,1.0,,2026-04-29,1.0,False,MEC,miercoles,Asia,2026-W18
06/05/2026,miercoles,MER,Envolvente,08:59,09:01,Buy,Take Profit,1.0,1.0,,2026-05-06,1.0,False,MER,miercoles,Pre-NY,2026-W19
06/05/2026,miercoles,MER,Envolvente,21:03,21:10,Buy,Take Profit,1.0,1.0,,2026-05-06,1.0,False,MER,miercoles,Asia,2026-W19
07/05/2026,jueves,MEC,Envolvente,22:02,20:03,Buy,Take Profit,1.0,1.0,,2026-05-07,1.0,False,MEC,jueves,Asia,2026-W19
11/05/2026,lunes,MER,Envolvente,08:18,08:21,Buy,Take Profit,1.0,1.0,,2026-05-11,1.0,False,MER,lunes,Pre-NY,2026-W20
11/05/2026,lunes,MER,Envolvente,20:52,21:00,Sell,Take Profit,1.0,1.0,,2026-05-11,1.0,False,MER,lunes,Asia,2026-W20
13/05/2026,miercoles,MEC,Star,07:14,07:45,Buy,Take Profit,1.0,1.0,,2026-05-13,1.0,False,MEC,miercoles,Pre-NY,2026-W20
18/05/2026,lunes,MEC,Envolvente,07:41,08:20,Buy,Stop Loss,-1.0,,1.0,2026-05-18,-1.0,False,MEC,lunes,Pre-NY,2026-W21
18/05/2026,lunes,MEC,Envolvente,08:41,08:42,Sell,Take Profit,1.0,1.0,,2026-05-18,1.0,False,MEC,lunes,Pre-NY,2026-W21
20/05/2026,miercoles,MER,Envolvente,20:52,21:00,Buy,Stop Loss,-1.0,,1.0,2026-05-20,-1.0,False,MER,miercoles,Asia,2026-W21
20/05/2026,miercoles,MER,Envolvente,21:01,21:09,Sell,Stop Loss,-1.0,,1.0,2026-05-20,-1.0,False,MER,miercoles,Asia,2026-W21
21/05/2026,jueves,MER,Envolvente,07:51,08:20,Buy,Stop Loss,-0.9,,1.0,2026-05-21,-0.9,False,MER,jueves,Pre-NY,2026-W21
21/05/2026,jueves,MEC,Envolvente,08:20,09:15,Sell,Take Profit,1.0,1.0,,2026-05-21,1.0,False,MEC,jueves,Pre-NY,2026-W21
21/05/2026,jueves,MER,Envolvente,20:01,20:21,Sell,Stop Loss,-1.0,,1.0,2026-05-21,-1.0,False,MER,jueves,Asia,2026-W21
21/05/2026,jueves,MER,Envolvente,20_21,20:39,Buy,Take Profit,1.0,1.0,,2026-05-21,1.0,False,MER,jueves,Asia,2026-W21
26/05/2026,martes,MEC,Envolvente,07:42,08:46,Sell,Stop Loss,-0.8,,1.0,2026-05-26,-0.8,False,MEC,martes,Pre-NY,2026-W22
26/05/2026,martes,MEC,Envolvente,08:46,09:02,Buy,Take Profit,1.0,1.0,,2026-05-26,1.0,False,MEC,martes,Pre-NY,2026-W22
27/05/2026,miercoles,MER,Envolvente,07:42,07:54,Buy,Stop Loss,-0.9,,1.0,2026-05-27,-0.9,False,MER,miercoles,Pre-NY,2026-W22
27/05/2026,miercoles,MEC,Star,07:54,08:18,Sell,Stop Loss,-1.0,,1.0,2026-05-27,-1.0,False,MEC,miercoles,Pre-NY,2026-W22
28/05/2026,jueves,MER,Envolvente,07:37,08:21,Buy,Stop Loss,-1.0,,1.0,2026-05-28,-1.0,False,MER,jueves,Pre-NY,2026-W22
28/05/2026,jueves,MEC,Envolvente,20:16,20:34,Buy,Take Profit,1.0,1.0,,2026-05-28,1.0,False,MEC,jueves,Asia,2026-W22
01/06/2026,lunes,MER,Envolvente,08;06,08:14,Buy,Stop Loss,-1.0,,1.0,2026-06-01,-1.0,False,MER,lunes,Pre-NY,2026-W23
01/06/2026,lunes,MEC,Envolvente,20::29,21:01,Buy,Stop Loss,-1.0,,1.0,2026-06-01,-1.0,False,MEC,lunes,Asia,2026-W23
01/06/2026,lunes,MEC,Envolvente,21:46,21:51,Sell,Take Profit,1.0,1.0,,2026-06-01,1.0,False,MEC,lunes,Asia,2026-W23
02/06/2026,martes,MEC,Envolvente,08:49,09:00,Sell,Take Profit,1.0,1.0,,2026-06-02,1.0,False,MEC,martes,Pre-NY,2026-W23
03/06/2026,miercoles,MEC,Envolvente,07:02,07:08,Buy,Take Profit,1.0,1.0,,2026-06-03,1.0,False,MEC,miercoles,Pre-NY,2026-W23
03/06/2026,miercoles,MER,Envolvente,21:02,21:12,Buy,Take Profit,1.0,1.0,,2026-06-03,1.0,False,MER,miercoles,Asia,2026-W23
04/06/2026,jueves,MEC,Envolvente,07:25,07:27,Buy,Take Profit,1.0,1.0,,2026-06-04,1.0,False,MEC,jueves,Pre-NY,2026-W23
08/06/2026,lunes,MEC,Envolvente,07:14,07:20,Buy,Take Profit,1.0,1.0,,2026-06-08,1.0,False,MEC,lunes,Pre-NY,2026-W24
08/06/2026,lunes,MEC,Envolvente,21:05,21:07,Buy,Take Profit,1.0,1.0,,2026-06-08,1.0,False,MEC,lunes,Asia,2026-W24
09/06/2026,martes,MEC,Envolvente,08:38,08:53,Buy,Stop Loss,-0.5,,1.0,2026-06-09,-0.5,False,MEC,martes,Pre-NY,2026-W24
09/06/2026,martes,MER,Envolvente,08:53,09:00,Sell,Stop Loss,-1.0,,1.0,2026-06-09,-1.0,False,MER,martes,Pre-NY,2026-W24
10/06/2026,miercoles,MER,Envolvente,21:45,22:00,Sell,Take Profit,1.0,1.0,,2026-06-10,1.0,False,MER,miercoles,Asia,2026-W24
15/06/2026,lunes,MEC,Envolvente,08:50,09:02,Buy,Stop Loss,-1.0,,1.0,2026-06-15,-1.0,False,MEC,lunes,Pre-NY,2026-W25
15/06/2026,lunes,MEC,Envolvente,21:00,21:05,Buy,Stop Loss,-0.7,,1.0,2026-06-15,-0.7,False,MEC,lunes,Asia,2026-W25
16/06/2026,martes,MEC,Envolvente,07:07,07:36,Sell,Take Profit,1.0,1.0,,2026-06-16,1.0,False,MEC,martes,Pre-NY,2026-W25
17/06/2026,miercoles,MEC,Envolvente,07:34,07:56,Sell,Take Profit,1.0,1.0,,2026-06-17,1.0,False,MEC,miercoles,Pre-NY,2026-W25
17/06/2026,miercoles,MER,Envolvente,21:17,22:04,Sell,Stop Loss,-0.55,,1.0,2026-06-17,-0.55,False,MER,miercoles,Asia,2026-W25
17/06/2026,miercoles,MEC,Envolvente,22:04,22:12,Buy,Take Profit,1.0,1.0,,2026-06-17,1.0,False,MEC,miercoles,Asia,2026-W25
18/06/2026,jueves,MEC,Envolvente,08:33,09:00,Sell,Break Even,,,,2026-06-18,0.0,False,MEC,jueves,Pre-NY,2026-W25
22/06/2026,lunes,MEC,Star,07:25,07:38,Sell,Take Profit,1.0,1.0,,2026-06-22,1.0,False,MEC,lunes,Pre-NY,2026-W26
22/06/2026,lunes,MEC,Envolvente,21:44,22:30,Sell,Break Even,,,,2026-06-22,0.0,False,MEC,lunes,Asia,2026-W26
23/06/2026,martes,MER,Envolvente,07:34,08:11,Sell,Take Profit,1.0,1.0,,2026-06-23,1.0,False,MER,martes,Pre-NY,2026-W26
24/06/2026,miercoles,MER,Envolvente,07:31,08:06,Buy,Stop Loss,-1.0,,1.0,2026-06-24,-1.0,False,MER,miercoles,Pre-NY,2026-W26
