escenario,riesgo_max_pct,capital_final,retorno_pct,drawdown_pct,dd_peor5_bootstrap,p_positivo_bootstrap
Techo en operacion #3,5.0,13715.1,1271.5,-17.8,-19.5,100.0
Techo en operacion #6 (actual),11.0,33045.26,3204.5,-23.0,-23.3,100.0
