variable,capital_final,retorno_pct,drawdown_max_pct,peor_racha_3L_pct,peor_dia_unico_pct,fecha_peor_dia
Jueves=1%,78033.29,7703.3,-28.7,-16.3,-13.9,2026-05-20
Jueves=2%,107573.36,10657.3,-27.4,-16.3,-13.9,2026-05-20
Jueves=3%,147090.61,14609.1,-27.4,-16.3,-13.9,2026-05-20
Jueves=4%,199501.7,19850.2,-27.5,-16.6,-13.9,2026-05-20
Jueves=5%,268419.32,26741.9,-27.6,-17.4,-13.9,2026-05-20
Jueves=6%,358268.37,35726.8,-27.8,-18.2,-13.9,2026-05-20
Jueves=7%,474406.64,47340.7,-28.3,-19.6,-15.7,2026-02-26
Jueves=8%,623244.9,62224.5,-29.3,-22.1,-17.9,2026-02-26
