variable,capital_final,retorno_pct,drawdown_max_pct,peor_racha_3L_pct,peor_dia_unico_pct,fecha_peor_dia
Martes=1%,78033.29,7703.3,-28.7,-16.3,-13.9,2026-05-20
Martes=2%,113017.76,11201.8,-26.6,-16.3,-13.9,2026-05-20
Martes=3%,162095.66,16109.6,-25.7,-16.3,-13.9,2026-05-20
Martes=4%,230241.83,22924.2,-24.9,-16.3,-13.9,2026-05-20
Martes=5%,323901.45,32290.1,-24.1,-16.3,-13.9,2026-05-20
Martes=6%,451318.09,45031.8,-23.3,-16.3,-13.9,2026-05-20
Martes=7%,622897.68,62189.8,-22.5,-16.5,-13.9,2026-05-20
Martes=8%,851599.5,85059.9,-21.7,-18.7,-13.9,2026-05-20
