Date,Close,High,Low,Open,Volume
2021-08-16,244.9620361328125,246.7314278583487,240.31247995902922,245.91554125714885,4047500
2021-08-17,242.7896270751953,244.9620348215996,241.75748065754945,244.03801831436033,3472600
2021-08-18,246.9477081298828,252.43280043432054,243.5072297672732,243.78246683633836,8306700
2021-08-19,248.7662353515625,251.09592573778434,244.1559922671517,244.9325507294609,6600800
2021-08-20,251.77418518066406,253.484584646289,248.31404310189123,248.69741005100997,5510700
2021-08-23,256.0895080566406,257.4067160154898,252.20670093878948,252.62938103034668,7603900
2021-08-24,255.24415588378906,258.03585448101023,254.65435364525774,257.4657313162023,6685200
2021-08-25,256.4139404296875,257.44607192709424,254.34964743628365,256.42374996871126,9701000
2021-08-26,263.23590087890625,270.5395371353906,262.8131907736344,265.2116978885948,18987000
2021-08-27,261.9972839355469,266.3028007185622,260.9159849720022,263.3046522287981,7992500
2021-08-30,260.4638366699219,263.02943577619214,260.24757686031165,261.2895477615463,5730000
2021-08-31,260.7587585449219,262.23324926764445,258.2324872389193,260.2672616373477,5901500
2021-09-01,263.75689697265625,268.61288862224,261.0733131667528,261.7417417342561,7189000
2021-09-02,259.65777587890625,264.680889208248,259.43170653046394,264.4253012506142,4498300
2021-09-03,262.5379333496094,262.862338056415,257.34772802799125,259.1171346140387,7356700
2021-09-07,260.69976806640625,263.3440236946542,259.57917077335605,262.00716657331867,4672500
2021-09-08,258.1538391113281,259.84458972688026,257.13151711158713,259.1368329576121,3851500
2021-09-09,256.3057861328125,259.2252788312799,256.02073953833815,257.36743620421294,4126500
2021-09-10,252.82601928710938,257.14134650274474,252.13791162242686,256.56138375615365,5280900
2021-09-13,249.7885284423828,253.30764767048203,247.901182347853,252.62937962102887,5258200
2021-09-14,250.04412841796875,250.77154923062187,248.69743171006417,249.78855542939633,4097500
2021-09-15,251.80369567871094,252.38365842150404,248.64827897762666,250.21123552147722,4764600
2021-09-16,255.93228149414062,256.7776718609173,250.66344850527622,251.18443408065718,5122600
2021-09-17,256.0993347167969,257.249450487942,254.2807904625756,254.8607531168845,7049400
2021-09-20,253.82861328125,254.80176736368145,250.60439541362817,252.22632888387548,5985500
2021-09-21,253.5828857421875,258.0849836844283,253.386275002944,255.0573762907527,6040600
2021-09-22,254.76246643066406,255.93220122477913,251.8527837537631,254.49703895757068,4355600
2021-09-23,273.1346130371094,274.63862218548906,261.8695137190807,265.40829701229535,15617200
2021-09-24,280.7724609375,281.49002705150593,273.4786353775802,273.7637119152641,13368300
2021-09-27,274.92364501953125,278.934275738412,274.29454470982665,277.63671697650443,5941100
2021-09-28,267.6495666503906,271.99441270528183,265.44767000642327,270.43142607116755,7127100
2021-09-29,265.8998107910156,270.00871748823585,264.6612290598714,268.83895251961934,4361900
2021-09-30,266.6075744628906,269.5958839565129,265.8408405137113,266.0472608081009,5224200
2021-10-01,270.578857421875,271.64047742618806,264.19920786361564,266.8827914835494,4756000
2021-10-04,266.2536926269531,270.61818760306676,261.6139905788011,270.53956129656876,6393800
2021-10-05,267.1481628417969,268.89789026930134,266.4207571692588,267.48237706968155,4050400
2021-10-06,270.588623046875,270.8048828272891,262.9507739815546,265.08388317921117,4745500
2021-10-07,269.9103698730469,274.746711591312,269.41887307234686,272.1909222279551,5374200
2021-10-08,267.8461608886719,272.2106557518443,267.6397105920992,270.85411951077856,2683300
2021-10-11,269.0945129394531,271.5716461494871,266.8926167527562,267.1580142400002,2693000
2021-10-12,274.2552185058594,275.975457331613,271.32588673451426,271.71910817926835,5970100
2021-10-13,279.57330322265625,280.2515714245189,273.8621109711299,275.23829645367954,6573500
2021-10-14,285.0878601074219,285.69734148154447,279.8190275718409,281.1362357057361,5433900
2021-10-15,286.699951171875,287.8893651701385,284.3997494733493,287.5158227578109,5119300
2021-10-18,286.7392578125,288.26288596051273,283.8000864193548,285.8348904610895,5163300
2021-10-19,287.3683776855469,290.5041300214685,286.4050330499069,287.13246879460945,3631200
2021-10-20,285.1566162109375,290.38614947972565,283.0530254590862,288.12524614993686,4487900
