Date,Close,High,Low,Open,Volume
2021-08-16,24.893661499023438,25.072880494279378,24.526260593197154,25.02807617275922,9864300
2021-08-17,24.36496353149414,24.94742828654767,24.015483311121706,24.62483168595016,10539800
2021-08-18,24.02444076538086,24.678595070996383,24.006520064171973,24.427686453145558,9697100
2021-08-19,23.69288444519043,23.746649966545654,23.20898962546809,23.43301462515248,18962600
2021-08-20,23.710803985595703,23.818336732217745,23.22691089873407,23.38820916407962,12082300
2021-08-23,24.633792877197266,24.813013590567664,24.10509365284752,24.18574280294666,8298000
2021-08-24,25.28794288635254,25.511967899655655,24.80404974638892,24.813010952022072,8183200
2021-08-25,25.494043350219727,25.780795050505546,25.019109778386994,25.28793907011121,6545200
2021-08-26,25.20728874206543,25.628456777360316,25.10871891801386,25.314821479146534,6150300
2021-08-27,26.0585880279541,26.25572941337976,25.52092768413171,25.52092768413171,7534300
2021-08-30,25.341705322265625,26.29157072026598,25.30586050651944,26.228844001885044,6887200
2021-08-31,25.238203048706055,25.643237361055075,25.10318989449281,25.16619511751842,9872700
2021-09-01,25.18419647216797,25.56222951765625,25.031183055737866,25.265203675969996,9724400
2021-09-02,25.751243591308594,25.886255008050014,25.391210857647067,25.48121904106245,9514100
2021-09-03,25.283205032348633,25.877256701013426,25.139192610657982,25.68824104133076,6174700
2021-09-07,25.04918098449707,25.38221073698652,24.644145031031965,24.860165350722188,8178400
2021-09-08,23.9960880279541,25.319202548815984,23.94208380910099,25.166189164762855,13279700
2021-09-09,23.9600887298584,24.51813639898102,23.798074336641065,23.933085758734386,10975000
2021-09-10,24.104101181030273,24.41912726083273,23.83407661964668,24.338121780857367,7712200
2021-09-13,25.301210403442383,25.4272208601104,24.527142245593218,24.545144229906853,9877900
2021-09-14,24.905170440673828,25.64323448493071,24.79716027277028,25.62523250415289,7106200
2021-09-15,26.318296432495117,26.37230066446583,25.22920221780726,25.38221563902726,11912200
2021-09-16,25.976268768310547,26.36330283835472,25.70624416009282,26.093278230136992,8079200
2021-09-17,25.481220245361328,26.336295453075245,25.202196408673338,25.832252005595524,17376500
2021-09-20,24.527137756347656,24.941173019197368,24.04109456942314,24.635147925696458,10708200
2021-09-21,24.23910903930664,25.004175942255657,23.97808550669216,24.851162561665856,10499100
2021-09-22,24.4371280670166,25.031179670038103,24.41012681391045,24.7611568383968,10547600
2021-09-23,25.9942626953125,26.21928228889533,24.509133721018483,24.59014091204936,13562300
2021-09-24,26.111276626586914,26.435305425224122,25.71524161900404,25.841252055468093,7414100
2021-09-27,27.173368453979492,27.578402719979056,26.786334451953433,26.82233669666382,13469000
2021-09-28,27.82142448425293,28.42447710861638,27.596404873919752,27.73141629676698,19922800
2021-09-29,27.299379348754883,27.86642801747981,27.12836396237993,27.86642801747981,13176500
2021-09-30,26.678325653076172,27.317382267916408,26.471308014270747,27.24537605803785,13322800
2021-10-01,27.32638168334961,28.469479984675374,26.642321870558398,26.858340487740357,12079600
2021-10-04,27.79442024230957,28.32546663575926,27.587402622290416,27.83942519237676,16285600
2021-10-05,27.533397674560547,28.523484232066238,27.49739371545407,28.13645025548793,12264600
2021-10-06,26.948345184326172,27.488392515727547,26.534308267438632,27.08335658798573,12070700
2021-10-07,27.920433044433594,28.082447434971108,27.49739508763823,27.569401292681196,15928000
2021-10-08,28.496477127075195,28.76649991413262,28.010435767019228,28.253455588665705,11854100
2021-10-11,29.216548919677734,29.91861252373392,28.847516851383364,29.06353721421462,16941800
2021-10-12,29.59457778930664,30.11662145886657,29.000526201999687,29.207543815232636,18377900
2021-10-13,29.48656463623047,29.639579738055716,28.712498438354565,29.216541823421252,12504100
2021-10-14,30.170631408691406,30.224637354182356,29.648584236193113,29.936609078424254,8671200
2021-10-15,30.602664947509766,30.79168058343331,30.386644625363903,30.584662967870397,9352100
2021-10-18,30.746679306030273,31.17871654426521,30.431653226127747,30.72867732524631,11548300
2021-10-19,31.088712692260742,31.295730338421897,30.332646603289668,30.962702249686735,10417100
2021-10-20,31.268722534179688,31.286721079183963,30.42264671087303,30.62966431368546,10818700
2021-10-21,30.8726863861084,31.15171190767563,30.46765044626125,30.917689616418883,12151400
2021-10-22,30.521657943725586,31.09770756162417,30.053616770801348,30.467652004475134,12077000
2021-10-25,30.926694869995117,31.295726882580087,30.62966734513258,30.989700084324745,9768400
2021-10-26,30.83669090270996,31.493751293210718,30.818692352460673,31.232727678740808,11666500
2021-10-27,29.28854751586914,30.764675318520624,29.243544289403147,30.485649820789735,13929600
2021-10-28,29.972612380981445,29.98161508846151,29.25255029128594,29.270552272719186,11364300
2021-10-29,29.03652572631836,29.873598856873844,28.955518538408914,29.873598856873844,13940600
2021-11-01,29.972612380981445,30.21563398003997,29.32455821701893,29.477569908911214,8514000
2021-11-02,29.882604598999023,30.23363463776109,29.621581029935587,29.702588226075044,7293900
2021-11-03,29.684587478637695,30.03561753198285,28.973524664487485,29.30655616996657,10448800
2021-11-04,29.83760643005371,30.368652931902172,29.468574347991378,30.26064102969321,12516200
2021-11-05,30.161624908447266,30.656670762715798,30.089620423706904,30.33264199756786,11279200
2021-11-08,30.8726863861084,31.178713159156644,30.206630337049873,30.323638049151864,14225900
2021-11-09,30.728673934936523,30.86368705915683,29.99060997185863,30.791679143965634,10925500
2021-11-10,29.45956039428711,30.674668078860968,29.2435435393802,30.548654241051604,10311700
2021-11-11,29.50457191467285,29.81960144747636,29.34255751118007,29.59458182412827,6363900
2021-11-12,29.48656463623047,29.58557380208333,29.108533385002836,29.23454380207871,7346100
2021-11-15,29.45056915283203,29.657586792533856,29.000529909951478,29.42356446346088,8358900
2021-11-16,29.60358428955078,30.01761961709744,29.225552929667487,29.540579062903568,7683800
2021-11-17,28.856515884399414,29.756594320092795,28.64949653944977,29.261548433640037,9716800
2021-11-18,28.676504135131836,29.0995421668584,28.172458893788004,28.784512603445766,8860200
2021-11-19,27.04735565185547,28.091446474671823,26.894342252817037,28.082447201284268,19098700
2021-11-22,27.308380126953125,27.812423574874497,26.957350083174738,27.011354309118325,12772600
2021-11-23,28.064443588256836,28.406472610275443,27.740414828729456,27.83042300823853,10914800
2021-11-24,28.271465301513672,28.739506529461913,27.740418853796143,27.740418853796143,9490500
2021-11-26,26.73233413696289,26.831341611971986,25.57123196103648,26.32729809495051,12412300
2021-11-29,26.687326431274414,27.668412106030114,26.579317975698867,27.3983892503278,12588500
2021-11-30,25.923540115356445,26.538184989906803,25.616217678081266,26.14047329625098,39947700
