Fecha,"dia ",entradas,Patron de entrada,hora de entrada,hora de salida,Buy/sell,resultado,resultado (R),trades tp,trades SL,Entradas
17/04/2026,viernes,MEC,Envolvente,07:47,08:30,buy,tp,1,1,,
16/04/2026,jueves,MEC,Star,07:56,08:07,buy,sl,-1,,1,
14/04/2026,martes,MEC,Envolvente,07:08,07:28,buy,tp,1,1,,
13/04/2026,lunes,MEC,Star,07:40,08:50,sell,sl,-1,,1,
09/04/2026,jueves,MEC,Envolvente,08:09,09:00,sell,breakeven,,,,
08/04/2026,miercoles,MER,Envolvente,07:07,07:26,buy,tp,1,1,,
07/04/2026,martes,MEC,Envolvente,07:41,08:24,buy,tp,1,1,,
02/04/2026,jueves,MER,Envolvente,08:56,09:00,sell,tp,1,1,,
01/04/2026,miercoles,MEC,Envolvente,07:17,07:38,buy,tp,1,1,,
31/03/2026,martes,MER,Envolvente,08:01,09:03,sell,tp,1,1,,
31/03/2026,martes,MER,Envolvente,08:06,08:10,buy,sl,-1,,1,
30/03/2026,lunes,MER,Star,07:42,07:18,buy,tp,1,1,,
27/03/2026,viernes,MEC,Envolvente,08:15,08:50,buy,tp,1,1,,
26/03/2026,jueves,MEC,Envolvente,07:46,07:50,sell,tp,1,1,,
25/03/2026,miercoles,MEC,Envolvente,07:04,07:22,buy,tp,1,1,,
24/03/2026,martes,MER,Envolvente,08:22,08:33,sell,tp,1,1,,
23/03/2026,lunes,MEC,Star,07:10,07:11,buy,tp,1,1,,
20/03/2026,viernes,MER,Envolvente,07:52,08:00,sell,sl,,,1,
19/03/2026,jueves,MER,Envolvente,07:35,07:42,sell,tp,1,1,,
18/03/2026,miercoles,MEC,Envolvente,08:26,08:37,sell,tp,1,1,,
17/03/2026,martes,MEC,Envolvente,07:56,08:01,sell,tp,1,1,,
17/03/2026,martes,MEC,Envolvente,07:34,07:45,sell,sl,-1,,-1,
12/03/2026,jueves,MEC,Envolvente,08:04,08:07,sell,tp,1,1,,
11/03/2026,miercoles,MER,Envolvente,07:12,07:58,sell,tp,1,1,,
10/03/2026,martes,MEC,Envolvente,07:00,07:05,buy,tp,1,1,,
09/03/2026,lunes,MER,Envolvente,08:42,08:51,sell,tp,1,1,,
06/03/2026,viernes,MER,Envolvente,07:33,08:01,sell,tp,1,1,,
05/03/2026,jueves,MEC,Star,08:09,08:17,sell,tp,1,1,,
04/03/2026,miercoles,MER,Envolvente,07:01,07:03,buy,tp,1,1,,
03/03/2026,martes,MEC,Envolvente,07:14,07:30,buy,tp,1,1,,
02/03/2026,lunes,MER,Envolvente,08:03,08:12,buy,sl,-1,,,
02/03/2026,lunes,MER,Envolvente,07:55,08:03,sell,sl,-1,,1,
27/02/2026,viernes,MEC,Envolvente,08:20,08:26,buy,tp,1,1,1,
26/02/2026,jueves,MER,Envolvente,07:09,07:28,buy,tp,1,1,,
26/02/2026,jueves,MEC,Envolvente,07:01,07:09,sell,sl,-0.30,,1,
25/02/2026,miercoles,MER,Envolvente,08:05,08:41,sell,sl,-0.60,,1,
25/02/2026,miercoles,MEC,Envolvente,07:26,07:35,buy,sl,-1,,1,
24/02/2026,martes,MER,Envolvente,07:00,07:13,sell,tp,1,1,,
23/02/2026,lunes,MEC,Envolvente,08:08,08:26,sell,tp,1,1,,
20/02/2026,viernes,MEC,Envolvente,07:58,08:20,buy,tp,1,1,,
20/02/2026,viernes,MER,Envolvente,07:08,07:28,buy,sl,-1,,,
18/02/2026,miercoles,MER,Envolvente,07:00,07:10,buy,tp,1,1,,
17/02/2026,martes,MER,Envolvente,07:40,08:05,sell,tp,1,1,,
17/02/2026,martes,MEC,Envolvente,07:05,07:40,buy,breakeven,,,,
13/02/2026,viernes,MEC,Envolvente,07:03,07:17,buy,tp,1,1,,
11/02/2026,miercoles,MEC,Envolvente,07:09,07:20,sell,tp,1,1,,
10/02/2026,martes,MER,Envolvente,07:55,08:17,buy,tp,1,1,,
09/02/2026,lunes,MEC,Star,08:29,09:00,sell,breakeven,,,,
06/02/2026,viernes,MER,Envolvente,07:19,07:29,sell,tp,1,1,,
04/02/2026,miercoles,MER,Envolvente,07:31,07:59,buy,sl,-1,,1,
03/02/2026,martes,MEC,Envolvente,08:25,08:46,buy,tp,1,1,,
02/02/2026,lunes,MER,Envolvente,08:00,08:03,sell,tp,1,1,,
29/01/2026,jueves,MER,Envolvente,07:37,08:11,sell,tp,1,1,,
28/01/2026,miercoles,MEC,Envolvente,07:21,07:54,buy,tp,1,1,,
27/01/2026,martes,MER,Envolvente,07:49,08:02,sell,sl,-1,,1,
27/01/2026,martes,MEC,Envolvente,07:32,07:49,buy,breakeven,,,,
26/01/2026,lunes,MEC,Envolvente,08:02,09:00,sell,breakeven,,,,
