time,open,high,low,close,n_ticks
2026-08-16 22:00:00+00:00,4378.7,4381.84,4374.475,4380.215,394
2026-08-16 22:01:00+00:00,4379.895,4380.084999999999,4374.915,4375.530000000001,294
2026-08-16 22:02:00+00:00,4375.605,4375.605,4372.225,4373.385,172
2026-08-16 22:03:00+00:00,4373.49,4374.45,4372.025,4373.799999999999,96
2026-08-16 22:04:00+00:00,4373.615,4374.26,4372.51,4372.9349999999995,97
2026-08-16 22:05:00+00:00,4372.98,4375.9349999999995,4372.675,4374.62,136
2026-08-16 22:06:00+00:00,4374.6,4375.005,4373.535,4373.655000000001,87
2026-08-16 22:07:00+00:00,4373.875,4374.295,4372.33,4373.255,97
2026-08-16 22:08:00+00:00,4373.385,4376.55,4373.075,4375.96,109
2026-08-16 22:09:00+00:00,4376.0599999999995,4376.985000000001,4375.33,4376.445,118
2026-08-16 22:10:00+00:00,4376.195,4377.995,4376.115,4377.469999999999,88
2026-08-16 22:11:00+00:00,4377.1,4377.88,4376.66,4377.3099999999995,58
2026-08-16 22:12:00+00:00,4377.415,4378.84,4375.679,4376.02,58
2026-08-16 22:13:00+00:00,4376.09,4376.105,4374.275,4375.695,68
2026-08-16 22:14:00+00:00,4375.8150000000005,4375.955,4374.8150000000005,4375.955,55
2026-08-16 22:15:00+00:00,4375.72,4375.995,4375.125,4375.360000000001,44
2026-08-16 22:16:00+00:00,4375.48,4375.62,4374.74,4374.86,43
2026-08-16 22:17:00+00:00,4375.08,4375.26,4373.76,4374.29,26
2026-08-16 22:18:00+00:00,4374.51,4374.69,4372.629999999999,4372.860000000001,81
2026-08-16 22:19:00+00:00,4372.985000000001,4374.285,4372.865,4373.780000000001,48
2026-08-16 22:20:00+00:00,4373.674999999999,4374.4,4373.495,4373.675,42
2026-08-16 22:21:00+00:00,4373.735,4374.015,4373.165,4373.745,45
2026-08-16 22:22:00+00:00,4373.639999999999,4374.17,4372.875,4373.6849999999995,50
2026-08-16 22:23:00+00:00,4373.53,4375.325,4373.53,4374.18,72
2026-08-16 22:24:00+00:00,4374.01,4374.715,4373.295,4373.455,56
2026-08-16 22:25:00+00:00,4373.17,4374.1900000000005,4372.97,4373.855,51
2026-08-16 22:26:00+00:00,4373.844999999999,4375.405000000001,4373.545,4374.68,49
2026-08-16 22:27:00+00:00,4374.575000000001,4375.4349999999995,4374.295,4374.645,43
2026-08-16 22:28:00+00:00,4374.625,4375.655,4374.52,4374.88,31
2026-08-16 22:29:00+00:00,4374.775,4375.025,4374.26,4374.9349999999995,50
2026-08-16 22:30:00+00:00,4375.105,4377.305,4375.0650000000005,4376.174999999999,77
2026-08-16 22:31:00+00:00,4376.33,4376.495,4375.395,4375.530000000001,42
2026-08-16 22:32:00+00:00,4375.674999999999,4377.355,4375.674999999999,4376.905000000001,51
2026-08-16 22:33:00+00:00,4377.01,4377.51,4376.395,4377.445,39
2026-08-16 22:34:00+00:00,4377.58,4378.395,4376.764999999999,4377.715,83
2026-08-16 22:35:00+00:00,4377.045,4377.495,4376.835,4377.125,48
2026-08-16 22:36:00+00:00,4377.255,4377.625,4376.995,4377.1,36
2026-08-16 22:37:00+00:00,4377.205,4377.985000000001,4376.835,4377.594999999999,53
2026-08-16 22:38:00+00:00,4377.450000000001,4377.715,4377.195,4377.715,37
2026-08-16 22:39:00+00:00,4377.575000000001,4379.040000000001,4377.424999999999,4378.879999999999,40
2026-08-16 22:40:00+00:00,4378.74,4378.9400000000005,4378.165,4378.385,42
