dir,fin_idx,resultado,dist_1_antes,dist_2_antes,dist_3_antes,dist_max,largo
1,4,reversion,0.6502207947591134,0.8670957794971472,0.2670983669434371,0.8670957794971472,4
1,6,reversion,0.34711652021390305,,,0.34711652021390305,1
-1,11,continuacion,0.7658958179397326,,,0.7658958179397326,1
-1,14,continuacion,0.05046783168217582,,,0.05046783168217582,1
-1,23,reversion,0.16553539459724353,0.8821002644842459,1.1578899925428017,2.3673170468192235,8
-1,25,reversion,0.21624104116557652,,,0.21624104116557652,1
1,30,continuacion,0.4724813905019548,0.12047863330373107,,0.4724813905019548,2
1,33,reversion,0.19850579404637253,0.3885104203262212,,0.3885104203262212,2
-1,37,reversion,0.3153514483304831,0.9691794129463689,0.3596234389803251,0.9691794129463689,3
1,43,continuacion,0.576755349479251,1.3183645440948877,1.603131702604748,1.603131702604748,4
1,50,continuacion,0.9645300445556857,1.409381950076096,1.4481584802622018,1.4481584802622018,6
1,53,reversion,0.33040449167775726,0.6895180448185908,,0.6895180448185908,2
-1,62,reversion,0.15073705266077397,1.0224843862115063,0.9179581836366016,1.8713908357373772,7
1,66,reversion,0.6307582940610414,0.3874999416942503,,0.6307582940610414,2
-1,78,continuacion,0.47765156685079524,1.2224529537893962,1.42743690448057,2.582305394855018,8
-1,85,reversion,0.6952055835953322,1.794005637845447,1.478233405753496,1.794005637845447,6
1,87,continuacion,0.6167590743425877,,,0.6167590743425877,1
1,107,continuacion,1.6348211586515564,1.5753310621603693,1.5182807303105625,2.1955796074523475,19
-1,115,reversion,0.4315697821132154,,,0.4315697821132154,1
1,124,reversion,1.092242733890208,0.7377088201010326,0.9453369796477235,1.5719554778725702,6
-1,131,continuacion,0.43926529183985613,1.0930191276898846,1.7419039037095836,1.7419039037095836,6
-1,141,continuacion,0.8198532890785742,0.686258478666633,0.960213781334922,1.842965525975557,8
1,144,reversion,0.6194146875095282,,,0.6194146875095282,1
-1,146,continuacion,0.5353108233017315,,,0.5353108233017315,1
-1,152,continuacion,0.28045876925183566,0.8790047859890447,1.693360569429617,1.693360569429617,3
1,154,reversion,0.24528567535252688,,,0.24528567535252688,1
-1,158,continuacion,0.21090423948218845,,,0.21090423948218845,1
-1,162,reversion,0.6096744042833528,0.28106525592629483,,0.6096744042833528,2
-1,164,reversion,0.12147934181523694,,,0.12147934181523694,1
1,166,reversion,0.6768336163945167,0.6096387150026391,,0.6768336163945167,2
1,168,reversion,0.3698684375603953,,,0.3698684375603953,1
-1,180,continuacion,0.319958896897471,2.4195236765748795,2.029714123760452,2.4195236765748795,10
1,182,reversion,0.20397541292041044,,,0.20397541292041044,1
-1,186,reversion,0.12615454740673,0.6852897475864197,1.2816155779181768,1.2816155779181768,4
1,193,continuacion,1.3490910758323253,0.9912646673044919,1.0728623969718538,1.3490910758323253,3
-1,195,reversion,0.17681989802532155,,,0.17681989802532155,1
1,202,reversion,0.32530036315657557,0.5374131722860577,0.7021125847136968,0.7021125847136968,5
-1,209,reversion,1.3565792876195057,0.48257892843700023,0.7408541998129222,1.6578350954086971,6
1,213,reversion,0.48186072170387806,1.1100655962779074,0.4003293986535884,1.1100655962779074,3
-1,215,continuacion,0.16384979727259738,,,0.16384979727259738,1
-1,218,reversion,0.7825274973036358,0.512605123499494,,0.7825274973036358,2
1,220,continuacion,0.2526495220979147,,,0.2526495220979147,1
-1,225,reversion,0.2222281043943799,,,0.2222281043943799,1
1,231,continuacion,0.41251551679695664,1.0431765865421487,1.1761816368288873,1.236311506827749,4
1,236,continuacion,0.27343074967935865,,,0.27343074967935865,1
1,238,continuacion,0.5142807189642324,,,0.5142807189642324,1
-1,242,reversion,0.21952553743237002,,,0.21952553743237002,1
1,244,continuacion,0.35546027385503454,,,0.35546027385503454,1
1,252,continuacion,0.5106991554500537,1.0293551720359257,1.629708029231868,2.186154970947693,7
1,270,continuacion,0.28122219991210556,0.23545368884805207,1.1313411083734346,2.6644358236607655,16
1,273,continuacion,0.4528864342789258,,,0.4528864342789258,1
